subject	task_experience_response	task_experience_other_response	open_ended_feedback_response
1	No	NA	Owen
54676961fdf99b7ba4d35cd6	No	NA	NA
54876fe7fdf99b03efa64374	No	NA	The Ah sounds was one of the most annoying things I've ever heard.
54e32a60fdf99b3eae9de85b	No	NA	NA
550c3ed5fdf99b3039d68894	No	NA	NA
5512eee1fdf99b7e1fb1be40	No	NA	NA
55519750fdf99b7f2114cc3e	No	NA	NA
5552121afdf99b74d81d09ef	No	NA	NA
555e3c45fdf99b423b15e013	No	NA	NA
558830fbfdf99b3a56b47ef5	No	NA	NA
558996f2fdf99b7ae47f5ed2	Yes	I've done the ka/ga/pa/da etc. part before	I struggled picking up the small shapes in the second part
5596f7bdfdf99b4a8bd2d49f	No	NA	NA
55a47692fdf99b126e625257	No	NA	NA
55ad3f2dfdf99b563a2471c8	No	NA	NA
55b42b7cfdf99b5244217cf4	No	NA	Thanks for an interesting study
55bd8669fdf99b5bfc7d4cfc	No	NA	NA
55d06fd334e9060012e5781c	No	NA	no
55d09e4934e9060005e5729a	No	NA	NA
55d4c46f58c35800113dc131	No	NA	NA
55d51a6b8ce09000127d4821	No	NA	NA
55da1c4669dbc30010b67569	No	NA	NA
55eb04337480920010aa9e0d	No	NA	NA
55f9e9564f51400011296872	No	NA	NA
5608a73fd7def20012b7389d	No	NA	NA
5611f6dd7ffc8a00058117e7	No	NA	NA
5638d3a544e8c8000ee869a2	No	NA	NA
5640acc0074be600055e9afd	No	NA	NA
564e93659b124900127eb55b	No	NA	NA
5654175604212700054a12b1	No	NA	NA
5658000ca9872d0011e1ba26	No	NA	NA
565955077d6957000adfe029	No	NA	NA
56b4b565b2de2a000d3316ba	No	NA	NA
56c89222dfea6c000bb23762	No	NA	NA
56d7623f04c67d000c7b9de6	No	NA	Everything went smoothly
56e1bb4e6ce054000b3ffcaf	No	NA	NA
56f7f09335c4760006278fca	No	NA	NA
56fc8248b5648e000fac9980	No	NA	NA
571144323d47e800096358d9	No	NA	no
5715699a30185b0008b40009	No	NA	NA
5717864c94d4fc001297198d	No	NA	NA
571f543bf6d15a0013df11e1	No	NA	NA
572bcf0d34b25a000edd2cf1	No	NA	NA
572f8258ad13160010008a61	No	NA	NA
5732a7595bb657000f727f02	No	NA	NA
5766d2f7fdff7a0001c1285b	No	NA	NA
576745749dcd970001dbdd0b	No	NA	NA
57739704c1b42d0001a58ae6	No	NA	NA
577d1216b425c40001434b2f	No	NA	NA
577d6a6c160201000103d7fc	No	NA	NA
578b5756160201000103fe40	No	NA	NA
579f1d3bc9abeb0001af52d8	No	NA	NA
57a5c633275be6000135b61c	No	NA	NA
57a9f41a16a091000112f1cf	No	NA	NA
57bf2f693aa21900017f7ae6	No	NA	NA
57c2f3ed0c656b00019c5988	No	NA	NA
57c4761195a3ea00016e5992	No	NA	NA
57dab7f721d77800018e42fe	No	NA	NA
57dd3b0e91b7fc0001493db9	No	NA	NA
57ee8eb1e62704000199d5ae	No	NA	NA
58061b34c7b1100001138a1e	No	NA	NA
5809006b2a296e0001005451	No	NA	NA
5862a405d22a5800014c4c27	No	NA	NA
58635484a73baa00010db537	No	NA	NA
5870f3b92bd3c90001859a3d	No	NA	NA
587674406e2f8d00015c6148	No	NA	NA
588093c6704f1100014a3d01	No	NA	NA
589ce4d65e63bf00013b3175	No	NA	NA
589cf2a3f6cc2100012af256	No	NA	NA
58a63a64ea3d11000170e1cc	No	NA	NA
58bfee7de5869400018f5e9e	No	NA	NA
58d954ec58d78900016eaf6d	No	NA	NA
58ed2be2a083320001a13783	No	NA	NA
58eec4b09fbdde00011e95b0	No	NA	NA
58f3913fcb9e9600013ca530	No	NA	NA
590208c89571f50001c666e3	No	NA	NA
59098fbcc3338c000105a042	No	NA	I don't think the system was recording me pressing / correctly. (using italian keyboard)
59175c2896ffb800017c4caf	No	NA	NA
592bb32c943e670001cde123	No	NA	NA
594425f07ccfd00001d3f462	No	NA	NA
59451bd536b8f40001de0a83	Yes	NA	NA
594ec90eca6e670001b2c184	No	NA	NA
59528796a186be000114dc32	No	NA	NA
596f8a83c988c000015bf765	No	NA	NA
5971cee2f4058000011deea6	No	NA	NA
597e1b3f9d51240001f1f71d	No	NA	NA
598aee4fe65fa90001580921	No	NA	NA
599e74eeb4e8c80001d1147e	No	NA	NA
59aae1188cef7d00011f8884	No	NA	NA
59c3eeac05da9d0001402bcd	Not sure (please explain):	i may have but its been a very long time and it wasnt exactly like this but i have done inquisit before	NA
59c4f0a2916c4d000109428a	No	NA	NA
59d6c032ea41450001ec76c9	No	NA	NA
59d9d9cd8fd07a0001842484	No	NA	NA
59dc458f77860e000151240e	No	NA	NA
59e27cc0c0d35a0001294e6b	No	NA	NA
59e6f84616ecc200016ff141	No	NA	No thank you
59f78f90a764fc000135f6e6	No	NA	NA
59ff81fd5d06850001afeeab	No	NA	NA
5a198755f2e3460001edc5c9	No	NA	NA
5a270517b4a5de00011af15c	No	NA	NA
5a2adf6a8e00a000019864fb	No	NA	NA
5a3bdd2c8d005a0001829f3e	No	NA	NA
5a47b7be2f91ec0001dcbfee	No	NA	NA
5a639a04c0d836000107b977	No	NA	NA
5a6f1ccade1f390001dbd8b7	No	NA	NA
5a6fd0626923df0001ef977b	No	NA	NA
5a7dc159000dab00018c5a06	No	NA	NA
5a804807000dab00018c6e5a	No	NA	no
5a8b3fa3b093f80001a80576	No	NA	NA
5a8d8079190420000156435d	No	NA	-
5a8f3dd5eea3d300016ece86	No	NA	NA
5a9f9e14b5e2110001c6f6f5	No	NA	NA
5aac21406be3fa00013a2a51	No	NA	NA
5ab10212fb22320001bacdfe	No	NA	No comments
5ab65c67f69e940001d8e06c	No	NA	NA
5abd5f3b5cd105000161f167	No	NA	That was fun!
5aca34565cd1050001626480	No	NA	NA
5acf8cd5a010190001b34afa	No	NA	NA
5ad0c55ad9f7470001db0e09	No	NA	NA
5ad0c8fd4d061300011b07e4	No	NA	NA
5ad57f5c27c301000101d9c5	No	NA	NA
5ad59462045cb000015c9960	No	NA	NA
5ad5efefe2338200017798d4	No	NA	NA
5ae2b45afef71c0001bea628	No	NA	It was easier for me to spot rectangles/squares when I used my left hand
5aeb063b2f05b500013028a0	Not sure (please explain):	i have done the sounds task before but not the shapes one	NA
5aed87e375deca0001627011	No	NA	NA
5af2f6c0c36b060001f80163	No	NA	NA
5af59378f856320001cf2ffc	No	NA	NA
5af5e288e19f8c00019e3d09	No	NA	Taking over someone's computer screen is more of a distraction than not doing so
5afb134c57516b0001416b48	No	NA	NA
5b12b275e9270900013c3e01	No	NA	NA
5b2aac848580750001aa0b64	No	NA	NA
5b393581c49ecb00010a6693	No	NA	NA
5b421b9ac2e3810001763252	No	NA	NA
5b4915add4c93b00019beed6	No	NA	no
5b494218ff7497000125219a	No	NA	Started to feel sleepy
5b50d6214e2d6800010b6092	No	NA	NA
5b575da5f633200001232769	No	NA	NA
5b59862535af16000164960a	No	NA	NA
5b5cff1c9351420001b78419	No	NA	NA
5b6515e83662a8000158b2aa	No	NA	NA
5b6c312fa1fda800015fe165	No	NA	NA
5b6c72f29dc5550001f8a514	No	NA	NA
5b6cf2c61b61b60001bc0678	No	NA	NA
5b72d1b972a6fc0001b2abc2	No	NA	NA
5b7ba10e4ba9cd0001e66fb4	No	NA	NA
5b7ecfe47a63030001019c35	No	NA	NA
5b82e33f184f45000155f0ba	No	NA	NA
5b87cdc34dc3210001904196	No	NA	NA
5b87dd09019cf60001a115b3	No	NA	NA
5b8c7161284d9b00019dee13	No	NA	NA
5b8e11444cd6dd0001bf07d9	No	NA	it would be good to recieve correct or incorrect feedback during the actual test
5b920a69abfadc0001e7ffa9	No	NA	NA
5b9754dce1adf100014ac3d1	No	NA	NA
5b985404a15058000124e508	No	NA	no
5b9aa47491b20a0001176287	No	NA	NA
5ba3223a68b542000112c1b6	No	NA	I do have high frequency hearing loss
5ba6d507cf54e40001c45aaf	No	NA	NA
5ba849b3a2a1ae0001f08d2d	No	NA	NA
5baa7acf14779d0001a23968	No	NA	NA
5bace423b95cc700014b5334	No	NA	NA
5bad4be8b712f30001b87947	Not sure (please explain):	I don't remember if I have or not.	NA
5bad4db8b712f30001b87990	No	NA	NA
5bb0f624a1c73d0001b9d62d	No	NA	NA
5bb0f83f71e1b2000176c35b	No	NA	NA
5bb535574cb73b00011437d0	No	NA	NA
5bbc18010cb04c00015025ce	No	NA	Thank you!
5bbd2bdcf7358a000171636f	No	NA	NA
5bc10133904b2f000194b264	No	NA	NA
5bc9ed7f3d893f0001bee4b6	No	NA	i have high freq hearing loss in left ear
5bdc4a3b0f86a60001be614a	No	NA	NA
5bdfb648484288000130dad0	No	NA	The second part of this was hard because it showed so quickly, tried my best though. Thanks for letting me participate!
5be08379a34306000165f14c	No	NA	NA
5be12624b08fb60001f5680a	No	NA	NA
5bea1d914e38ca00014b399e	No	NA	NA
5bead56b5324b10001c2551c	No	NA	NA
5bebbb9694bff800011dc37c	No	NA	NA
5beccd423b6489000156596f	No	NA	NA
5befb6e27c387400016983bf	No	NA	NA
5bf19d37e657aa0001a2314a	No	NA	NA
5bfd8910eed5280001ead1dd	No	NA	NA
5c0004a72340e10001bfc3a0	No	NA	small shapes are very small, difficult to see
5c024be169406e00014e0b8e	Not sure (please explain):	I've done a similar one that uses the same sounds	N/A
5c0586b43199f4000153f133	No	NA	NA
5c05c77f24419e0001a3094f	No	NA	NA
5c086d3d3be61100011a694d	No	NA	n/a
5c0c28915b32d500012eef60	No	NA	NA
5c0e80423a0b8e000183089b	No	NA	NA
5c11f8202b16ba0001c8b764	No	NA	NA
5c190c311e18d10001eca667	No	NA	NA
5c2477b010677f0001db2661	No	NA	NA
5c28884289f035000174bfbe	No	NA	NA
5c28c65636efd800010f30fb	No	NA	It was getting hard to focus on a bright white screen. White text on a black background would have caused less eye strain.
5c2c189b867f660001af5dc5	No	NA	NA
5c2dae2110677f0001dd1137	No	NA	NA
5c2e33e751dcf20001b3204d	No	NA	NA
5c37aa8b832a8400010983b3	No	NA	No
5c395df5f5ebd50001850900	No	NA	NA
5c3dfadfef1d0d0001b2870e	No	NA	NA
5c3e80671580e9000122d168	No	NA	NA
5c4db2cd430fb000014d1448	No	NA	NA
5c4e5f2ae5f00f0001542748	No	NA	im left handed but i honestly think i struggled more using my left hand i just find it strange
5c50046b2b89f500015e5f6b	No	NA	NA
5c560b6fccb08c0001e134a8	No	NA	NA
5c56964991c0ad0001cfa5ae	No	NA	NA
5c574d3f53fba80001bd302e	No	NA	NA
5c588d147831040001973ab3	No	NA	NA
5c59f7cb4eea0b00017c9317	No	NA	NA
5c5cb3bf6a946500015a3411	No	NA	NA
5c5ff87f8c0552000109d7de	No	NA	NA
5c62fbd932207f00016bd19e	No	NA	NA
5c6325a730ccf800019350c6	No	NA	NA
5c663cd56fdc87000162e255	No	NA	NA
5c6838ea5f8d580001e8a8ab	No	NA	NA
5c6849dc5b27b00001a340f5	No	NA	NA
5c69bdaf81ea8900018aeccd	No	NA	I was born left handed but taught in school to write with my right.
5c6ddaefdf677d00013fa313	No	NA	NA
5c707693db12e3000146b16d	No	NA	NA
5c742339e621f900163f4543	No	NA	NA
5c778f10848d2a0016b3c65d	No	NA	NA
5c799405e62652001656f06f	No	NA	NA
5c7cf8b58ca9000001b52f6e	No	NA	Thank you.
5c82c9a4d8302a00010639b8	No	NA	NA
5c858ca8eceaa40001d3f488	No	NA	NA
5c8d2f74e775150016db3700	No	NA	NA
5c8f9fa8dfbf30001697845d	No	NA	NA
5c92aa671ce0cd00128c6c86	No	NA	That was actually pretty fun
5c993969c6d15000019bbc4f	No	NA	NA
5c9b3126a586fd00154d5440	No	NA	NA
5c9d88bb2b3c77001744ec1c	Not sure (please explain):	I know I have done similar tasks before (recognising the shapes and recognising syllables like 'pa' 'ba' and 'ka'). But I can't remember if both tasks were in the same study like this. I also don't remember switching the same finger from 'z' to '/'. I can quite confidently say I have never done an IDENTICAL task to this in its entirety.	Just to confirm that I always use a mouse with my right hand. I don't know if that is standard for left handed people, I do most things left-handed. Also wishing you good luck and all the best with your research.
5ca3ccae7958d0001689df68	No	NA	Yeah, during the sound test. Do the text sounds have to be in alphabetical order? """"ba da"""" right next to each other kept visually messing me up. Unless that was the INTENTION!
5caba2588d77140014bac508	Yes	NA	NA
5cadcbd3cdf3eb00136336a4	No	NA	NA
5cb489ff0cd1ed0017465d19	No	NA	NA
5cb50cffce95710018cc9c9e	No	NA	NA
5cbc345609683c00017c878a	No	NA	NA
5cbe04b4f429ff00159de30e	No	NA	NA
5cbe2edd577eb000184124b9	No	NA	NA
5cc369725986a4001b4e9041	No	NA	NA
5cc48c234bb96d00018a8bfe	No	NA	NA
