subject	task_experience_response	task_experience_other_response	open_ended_feedback_response
545cbbcafdf99b11ed040acf	No	NA	NA
55bb9ae7fdf99b26d27fda01	No	NA	NA
55c82012fdf99b02adc2a36e	No	NA	NA
56d0f57421cd29000a9737e4	No	NA	NA
57901207c9abeb0001af353e	No	NA	NA
581bd344930a280001062c90	No	NA	NA
5928b6414a05920001393ecf	No	NA	Felt like I did better with my left hand even though I'm right handed
59a07638bfd73c00010ea394	No	NA	NA
59d5c894c732930001d88b5e	No	NA	none
5a6ff39ef660ae0001a9837e	No	NA	NA
5a98b39b89de8200013ef94f	No	NA	NA
5ad7835e9c198c0001fad31a	No	NA	NA
5adf3828dee8590001b05860	No	NA	NA
5af491b6222e4d0001877572	No	NA	NA
5b15307351caaf0001228d9b	No	NA	no
5b76d0f5fca8d9000139404c	No	NA	NA
5b9530390f85f600015705bf	No	NA	n/a
5be2991826f9ec00013f6f40	No	NA	NA
5bea832a4fbb6f00017ea3e9	No	NA	NA
5c06b3f64a2b7b0001c3c185	No	NA	Interesting exercise. Good luck with your research.
5c17294778ee390001ab19e5	No	NA	NA
5c48ca334635bf000171c13f	No	NA	NA
5c535974b7cf140001d308d3	No	NA	NA
5c6ac9e5d9c5be000174497f	No	NA	NA
5c9a7a644a640200171c0cc2	No	NA	NA
5cb568ebf0e31e0017d9bf32	No	NA	no feedback
5d10102523f6320017c63e07	No	NA	NA
5d1beb9c9e033e0017a725dc	No	NA	NA
5d3522b6eac3d50017df02cb	No	NA	NA
5d3df9b23bf3780015abf56f	No	NA	NA
5d48fcc5643eb80001fb43fa	No	NA	no
5d4b14caed2dfc0001a22c1a	No	NA	NA
5d5315f889849a0001a76d1a	No	NA	NA
5d7cefc73f9ae70018b400f1	No	NA	NA
5d847ac9be4b0b00188463d7	No	NA	NA
5d96eeed1998fb00177f6b71	No	NA	NA
5dcebf4ad2c3e0000ab3debe	No	NA	NA
5dd95432cf08aa8dc50bb42a	No	NA	NA
5dee933631a7e05381da6b02	No	NA	NA
5e26762aa8c1118a9d578c4d	No	NA	NA
5e2e7d79acf5fe45b62f859a	No	NA	NA
5e3dff6b8714b707b9a258b0	No	NA	NA
5e5731e3e1e8b90e25c1f3a2	No	NA	NA
5e6fca371814a4594af2f420	No	NA	NA
5e820eb36551aa02fd72e1dc	No	NA	NA
