subject	first_block	acc_slash	acc_z	acc_absent	acc_present	acc_global_LVF	acc_global_RVF	acc_local_LVF	acc_local_RVF	rt_global_LVF	rt_global_RVF	rt_local_LVF	rt_local_RVF	rt_overall	duration_s	exclude_many_gos	exclude_low_acc	exclude_low_rt	exclude_high_rt	exclude_long_duration	exclude	ehi_i1_writing	ehi_i2_throwing	ehi_i3_toothbrush	ehi_i4_spoon	ehi_total	age	country	sex	education	race	hispanic_ethnicity	task_experience_response	task_experience_other_response	open_ended_feedback_response
53c04378fdf99b360e022d92	z	78.75	77.5	81.25	77.34375	84.375	68.75	75	81.25	1117.5	1223	1146	1056	1137	749.121	0	0	0	0	0	0	25	12.5	12.5	12.5	62.5	26	US	Female	16	White	No	No	NA	NA
545cbbcafdf99b11ed040acf	slash	100	98.75	100	99.21875	100	100	96.875	100	776	767.5	742.5	759.5	766.5	666.221	0	0	0	0	0	0	25	12.5	12.5	12.5	62.5	28	US	Female	16	Asian	No	No	NA	NA
5484949efdf99b0379939cc6	slash	96.25	97.5	100	96.09375	96.875	96.875	100	90.625	704	685	686	702	700.5	560.669	0	0	0	0	0	0	-25	-25	-25	-25	-100	38	US	Male	16	White	No	No	NA	NA
558955ebfdf99b6bd06016c9	slash	98.75	97.5	90.625	100	100	100	100	100	540.5	553	534.5	527	546	502.891	0	0	0	0	0	0	25	25	25	25	100	32	US	Male	16	White	No	No	NA	Thanks!
5589c7cefdf99b18bd86cf31	z	100	98.75	100	99.21875	100	100	100	96.875	638.5	669.5	552.5	598	611.5	546.068	0	0	0	0	0	0	-25	-25	-25	-25	-100	39	US	Male	16	White	No	No	NA	n
559cb12dfdf99b4989fb18ed	slash	86.25	91.25	75	92.1875	100	93.75	93.75	81.25	961	1058.5	1033.5	1068.5	1033.5	667.078	0	0	0	0	0	0	-25	-25	-25	-25	-100	38	US	Female	16	American Indian or Alaska Native	No	No	NA	NA
55ae64defdf99b3f864653e7	z	98.75	100	96.875	100	100	100	100	100	742	781.5	746	783	770	658.294	0	0	0	0	0	0	-25	0	0	-25	-50	26	US	Female	16	White	No	No	NA	NA
55b0029bfdf99b5c00619440	slash	92.5	96.25	84.375	96.875	96.875	96.875	96.875	96.875	563.5	600	590	586	586	1053.577	0	0	0	0	0	0	25	12.5	25	25	87.5	38	US	Female	12	Black or African American	No	No	NA	NA
55b249bdfdf99b28e3c14b05	slash	58.75	67.5	59.375	64.0625	81.25	90.625	43.75	40.625	1077.5	1003.5	2000	2000	1150	965.935	0	1	0	0	0	1	-25	-25	-25	-25	-100	36	US	Female	14	Black or African American	No	No	NA	NA
55bb9ae7fdf99b26d27fda01	z	76.25	83.75	62.5	84.375	87.5	96.875	65.625	87.5	784.5	704	1218	911.5	833	860.42	0	0	0	0	0	0	25	25	12.5	12.5	75	36	US	Female	12	White	No	No	NA	NA
